Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
0.026397840,0,1,1,1,0,1
0.026398790,0,1,0,1,0,1
0.026402780,0,1,0,1,1,1
0.026402890,0,1,0,1,0,1
0.026403000,0,1,0,1,1,1
0.026403730,0,1,0,1,0,1
0.026403820,0,1,0,1,1,1
0.026404000,0,1,0,1,0,1
0.026404170,0,1,0,1,1,1
0.026404340,0,1,0,1,0,1
0.026404420,0,1,0,1,1,1
0.026404510,0,1,0,1,0,1
0.026404640,0,1,0,1,1,1
0.026404760,0,1,0,1,0,1
0.026404830,0,1,0,1,1,1
0.026404980,0,1,0,1,0,1
0.026405070,0,1,0,1,1,1
0.026405160,0,1,0,1,0,1
0.026405240,0,1,0,1,1,1
0.026405330,0,1,0,1,0,1
0.026405400,0,1,0,1,1,1
0.026405490,0,1,0,1,0,1
0.026405560,0,1,0,1,1,1
0.026405650,0,1,0,1,0,1
0.026405800,0,1,0,1,1,1
0.026405890,0,1,0,1,1,0
0.026405970,0,1,0,1,0,0
0.026406060,0,1,0,1,1,0
0.026406140,0,1,0,1,0,0
0.026406220,0,1,0,1,1,0
0.026406300,0,1,0,1,0,0
0.026406380,0,1,0,1,1,0
0.026406470,0,1,0,1,0,0
0.026406550,0,1,0,1,1,0
0.026406630,0,1,0,1,0,0
0.026406780,0,1,0,1,1,0
0.026406880,0,1,0,1,0,0
0.026406960,0,1,0,1,1,0
0.026407050,0,1,0,1,0,0
0.026407130,0,1,0,1,1,0
0.026407280,0,1,0,1,0,0
0.026407390,0,1,0,1,1,0
0.026407460,0,1,0,1,0,0
0.026407620,0,1,0,1,1,0
0.026407790,0,1,0,1,0,0
0.026407960,0,1,0,1,1,0
0.026408050,0,1,0,1,0,0
0.026408130,0,1,0,1,1,0
0.026408210,0,1,0,1,0,0
0.026408300,0,1,0,1,1,0
0.026408380,0,1,0,1,0,0
0.026408470,0,1,0,1,1,0
0.026408620,0,1,0,1,0,0
0.026408790,0,1,0,1,1,0
0.026408950,0,1,0,1,0,0
0.026409050,0,1,0,1,1,0
0.026409130,0,1,0,1,0,0
0.026409290,0,1,0,1,1,0
0.026409450,0,1,0,1,0,0
0.026409550,0,1,0,1,1,0
0.026409630,0,1,0,1,0,0
0.026409720,0,1,0,1,1,0
0.026409800,0,1,0,1,0,0
0.026409940,0,1,0,1,1,0
0.026410120,0,1,0,1,0,0
0.026410220,0,1,0,1,1,0
0.026410300,0,1,0,1,0,0
0.026410380,0,1,0,1,1,0
0.026410470,0,1,0,1,0,0
0.026410550,0,1,0,1,1,0
0.026410640,0,1,0,1,0,0
0.026410790,0,1,0,1,1,0
0.026410960,0,1,0,1,0,0
0.026411060,0,1,0,1,1,0
0.026411160,0,1,0,1,0,0
0.026411250,0,1,0,1,1,0
0.026411330,0,1,0,1,0,0
0.026411410,0,1,0,1,1,0
0.026411500,0,1,0,1,0,0
0.026411660,0,1,1,1,1,0
0.026411780,0,1,1,1,0,0
0.026411850,0,1,1,1,1,0
0.026411930,0,1,1,1,0,0
0.026412010,0,1,1,1,1,0
0.026412130,0,1,1,1,0,0
0.026412620,0,1,0,1,0,0
0.026412660,0,1,0,1,1,0
0.026412670,1,1,0,1,1,0
0.026412780,0,1,0,1,1,0
0.026412840,1,1,0,1,1,0
0.026412930,0,1,0,1,1,0
0.026412940,0,1,0,1,0,0
0.026412960,0,1,0,1,0,1
0.026413020,1,1,0,1,0,1
0.026413090,0,1,0,1,0,1
0.026413170,1,1,0,1,0,1
0.026413260,0,1,0,1,0,1
0.026413330,1,1,0,1,0,1
0.026413480,0,1,0,1,0,1
0.026413650,1,1,0,1,0,1
0.026413760,0,1,0,1,0,1
0.026413820,1,1,0,1,0,1
0.026413920,0,1,0,1,0,1
0.026413990,1,1,0,1,0,1
0.026414080,0,1,0,1,0,1
0.026414150,1,1,0,1,0,1
0.026414310,0,1,0,1,0,1
0.026414390,1,1,0,1,0,1
0.026414490,0,1,0,1,0,1
0.026414620,1,1,0,1,0,1
0.026414670,1,0,0,1,0,1
0.026414790,0,0,0,1,0,1
0.026414950,1,0,0,1,0,1
0.026415050,0,0,0,1,0,1
0.026415130,1,0,0,1,0,1
0.026415220,0,0,0,1,0,1
0.026415300,1,0,0,1,0,1
0.026415450,0,0,0,1,0,1
0.026415620,1,0,0,1,0,1
0.026415790,0,0,0,1,0,1
0.026415960,1,0,0,1,0,1
0.026416050,0,0,0,1,0,1
0.026416130,1,0,0,1,0,1
0.026416290,0,0,0,1,0,1
0.026416390,1,0,0,1,0,1
0.026416460,0,0,0,1,0,1
0.026416630,1,0,0,1,0,1
0.026416710,0,0,0,1,0,1
0.026416800,1,0,0,1,0,1
0.026416880,0,0,0,1,0,1
0.026416970,1,0,0,1,0,1
0.026417120,0,0,0,1,0,1
0.026417300,1,0,0,1,0,1
0.026417380,0,0,0,1,0,1
0.026417470,1,0,0,1,0,1
0.026417620,0,0,0,1,0,1
0.026417790,1,0,0,1,0,1
0.026417880,0,0,0,1,0,1
0.026417970,1,0,0,1,0,1
0.026418050,0,0,0,1,0,1
0.026418140,1,0,0,1,0,1
0.026418280,0,0,0,1,0,1
0.026418450,1,0,0,1,0,1
0.026418550,0,0,0,1,0,1
0.026418630,1,0,0,1,0,1
0.026418720,0,0,0,1,0,1
0.026418800,1,0,0,1,0,1
0.026418960,0,0,0,1,0,1
0.026419110,1,0,0,1,0,1
0.026419240,0,0,0,1,0,1
0.026419320,1,0,0,1,0,1
0.026419460,0,0,0,1,0,1
0.026419560,1,0,0,1,0,1
0.026419660,0,0,0,1,0,1
0.026419740,1,0,0,1,0,1
0.026419830,0,0,0,1,0,1
0.026419920,1,0,0,1,0,1
0.026420000,0,0,0,1,0,1
0.026420080,1,0,0,1,0,1
0.026420160,0,0,0,1,0,1
0.026420250,1,0,0,1,0,1
0.026420340,0,0,0,1,0,1
0.026420420,1,0,0,1,0,1
0.026420500,0,0,0,1,0,1
0.026420660,1,0,0,1,0,1
0.026420830,0,0,0,1,0,1
0.026420930,1,0,0,1,0,1
0.026421000,0,0,0,1,0,1
0.026421090,1,0,0,1,0,1
0.026421170,0,0,0,1,0,1
0.026421260,1,0,0,1,0,1
0.026421360,0,0,0,1,0,1
0.026421650,1,0,0,1,0,1
0.026421840,0,0,0,1,0,1
0.026421990,0,1,0,1,0,1
0.036592000,0,1,1,1,0,1
0.036592950,0,1,0,1,0,1
0.037989970,0,1,0,1,1,1
0.037991000,0,1,0,1,0,1
0.039587840,1,1,0,1,0,1
0.039587950,0,1,0,1,0,1
0.039588070,1,1,0,1,0,1
0.039588180,0,1,0,1,0,1
0.039588430,1,1,0,1,0,1
0.039588580,0,1,0,1,0,1
0.039588730,1,1,0,1,0,1
0.039588850,0,1,0,1,0,1
0.039588910,1,1,0,1,0,1
0.039589060,0,1,0,1,0,1
0.039589160,1,1,0,1,0,1
0.039589240,0,1,0,1,0,1
0.039589310,1,1,0,1,0,1
0.039589410,0,1,0,1,0,1
0.039589540,1,1,0,1,0,1
0.039589720,0,1,0,1,0,1
0.039589800,1,1,0,1,0,1
0.039589900,0,1,0,1,0,1
0.039590040,1,1,0,1,0,1
0.039590110,1,0,0,1,0,1
0.039590140,0,0,0,1,0,1
0.039590220,1,0,0,1,0,1
0.039590300,0,0,0,1,0,1
0.039590380,1,0,0,1,0,1
0.039590530,0,0,0,1,0,1
0.039590630,1,0,0,1,0,1
0.039590710,0,0,0,1,0,1
0.039590860,1,0,0,1,0,1
0.039590960,0,0,0,1,0,1
0.039591040,1,0,0,1,0,1
0.039591190,0,0,0,1,0,1
0.039591360,1,0,0,1,0,1
0.039591460,0,0,0,1,0,1
0.039591540,1,0,0,1,0,1
0.039591620,0,0,0,1,0,1
0.039591710,1,0,0,1,0,1
0.039591790,0,0,0,1,0,1
0.039591880,1,0,0,1,0,1
0.039592030,0,0,0,1,0,1
0.039592130,1,0,0,1,0,1
0.039592200,0,0,0,1,0,1
0.039592290,1,0,0,1,0,1
0.039592370,0,0,0,1,0,1
0.039592530,1,0,0,1,0,1
0.039592630,0,0,0,1,0,1
0.039592710,1,0,0,1,0,1
0.039592790,0,0,0,1,0,1
0.039592880,1,0,0,1,0,1
0.039592960,0,0,0,1,0,1
0.039593040,1,0,0,1,0,1
0.039593120,0,0,0,1,0,1
0.039593210,1,0,0,1,0,1
0.039593360,0,0,0,1,0,1
0.039593530,1,0,0,1,0,1
0.039593700,0,0,0,1,0,1
0.039593870,1,0,0,1,0,1
0.039593960,0,0,0,1,0,1
0.039594040,1,0,0,1,0,1
0.039594120,0,0,0,1,0,1
0.039594210,1,0,0,1,0,1
0.039594360,0,0,0,1,0,1
0.039594530,1,0,0,1,0,1
0.039594690,0,0,0,1,0,1
0.039594860,1,0,0,1,0,1
0.039595020,0,0,0,1,0,1
0.039595180,1,0,0,1,0,1
0.039595360,0,0,0,1,0,1
0.039595460,1,0,0,1,0,1
0.039595560,0,0,0,1,0,1
0.039595690,1,0,0,1,0,1
0.039595820,0,0,0,1,0,1
0.039595900,1,0,0,1,0,1
0.039595990,0,0,0,1,0,1
0.039596070,1,0,0,1,0,1
0.039596210,0,0,0,1,0,1
0.039596380,1,0,0,1,0,1
0.039596550,0,0,0,1,0,1
0.039596670,1,0,0,1,0,1
0.039596740,0,0,0,1,0,1
0.039596820,1,0,0,1,0,1
0.039596910,0,0,0,1,0,1
0.039597070,1,0,0,1,0,1
0.039597240,0,0,0,1,0,1
0.039597510,1,0,0,1,0,1
0.039597600,0,0,0,1,0,1
0.039597650,1,0,0,1,0,1
0.039597760,0,0,0,1,0,1
0.039598080,1,0,1,1,0,1
0.039598330,1,1,1,1,0,1
0.039598730,1,1,0,1,0,1
0.039598780,0,1,0,1,0,1
0.039598850,0,1,1,1,0,1
0.039598930,0,1,0,1,0,1
0.039599260,0,1,1,1,0,1
0.039599570,0,1,0,1,0,1
0.039599660,0,1,1,1,0,1
0.039599740,0,1,0,1,0,1
0.039599810,0,1,1,1,0,1
0.039599910,0,1,0,1,0,1
0.039599980,0,1,1,1,0,1
0.039600060,0,1,0,1,0,1
0.039600230,0,1,1,1,0,1
0.039600330,0,1,0,1,0,1
0.039600400,0,1,1,1,0,1
0.039600490,0,1,0,1,0,1
0.039600560,0,1,1,1,0,1
0.039600650,0,1,0,1,0,1
0.039600730,0,1,1,1,0,1
0.039600880,0,1,0,1,0,1
0.039600970,0,1,1,1,0,1
0.039601060,0,1,0,1,0,1
0.039601210,0,1,1,1,0,1
0.039601310,0,1,0,1,0,1
0.039601340,0,1,0,0,0,1
0.039601380,0,1,1,0,0,1
0.039601470,0,1,0,0,0,1
0.039601550,0,1,1,0,0,1
0.039601630,0,1,0,0,0,1
0.039601710,0,1,1,0,0,1
0.039601800,0,1,0,0,0,1
0.039601870,0,1,1,0,0,1
0.039601960,0,1,0,0,0,1
0.039602040,0,1,1,0,0,1
0.039602130,0,1,0,0,0,1
0.039602210,0,1,1,0,0,1
0.039602290,0,1,0,0,0,1
0.039602370,0,1,1,0,0,1
0.039602460,0,1,0,0,0,1
0.039602540,0,1,1,0,0,1
0.039602620,0,1,0,0,0,1
0.039602710,0,1,1,0,0,1
0.039602860,0,1,0,0,0,1
0.039603030,0,1,1,0,0,1
0.039603190,0,1,0,0,0,1
0.039603360,0,1,1,0,0,1
0.039603530,0,1,0,0,0,1
0.039603700,0,1,1,0,0,1
0.039603790,0,1,0,0,0,1
0.039603870,0,1,1,0,0,1
0.039604030,0,1,0,0,0,1
0.039604130,0,1,1,0,0,1
0.039604200,0,1,0,0,0,1
0.039604290,0,1,1,0,0,1
0.039604370,0,1,0,0,0,1
0.039604460,0,1,1,0,0,1
0.039604540,0,1,0,0,0,1
0.039604630,0,1,1,0,0,1
0.039604710,0,1,0,0,0,1
0.039604790,0,1,1,0,0,1
0.039604870,0,1,0,0,0,1
0.039605030,0,1,1,0,0,1
0.039605130,0,1,0,0,0,1
0.039605210,0,1,1,0,0,1
0.039605290,0,1,0,0,0,1
0.039605380,0,1,1,0,0,1
